KEY,ko-KR,en
MATERIAL_DESC_068,"정화단에 의해 불태워진 금서의 잔해. 일부 내용을 해독할 수 있을지도 모른다.","The remains of a forbidden book burned by the Purifiers. It might be possible to decipher some of its contents."
MATERIAL_DESC_069,"그림자 등불단이 비밀 서신을 작성할 때 사용하는 특수 잉크. 특별한 시약이나 불꽃에만 반응한다.","A special ink used by the Shadow Lanterns to write secret missives. It only reacts to specific reagents or flames."
MATERIAL_DESC_070,"전쟁과 저주를 피해 남쪽으로 향하던 아이가 떨어뜨린 것으로 보이는 낡은 헝겊 인형.","A worn cloth doll likely dropped by a child fleeing south to escape war and the curse."
MATERIAL_DESC_071,"(몬스터) 고위 뱀파이어가 햇빛이나 신성한 힘에 의해 소멸할 때 남기는 붉은 먼지. 강력한 회복력을 지녔다.","(Monster) Red dust left behind when a high vampire is destroyed by sunlight or holy power. It possesses powerful regenerative properties."
MATERIAL_DESC_072,"(몬스터) 리치의 영혼을 담는 그릇인 성물함의 파편. 그 자체로도 강력한 마력을 지니고 있다.","(Monster) A fragment from a phylactery the vessel containing a lich's soul. It possesses powerful magic on its own."
MATERIAL_DESC_073,"(몬스터) 언데드 군단을 이끌던 스켈레톤 군단장의 투구. 지휘의 권능이 희미하게 남아있다.","(Monster) The helm of a skeleton captain who led an undead legion. The authority of command faintly remains."
MATERIAL_DESC_074,"(몬스터) 바위 거인의 동력원. 대지를 울리는 힘의 원천이다.","(Monster) The power source of a Rock Giant. It is the source of the earth-shaking power."
MATERIAL_DESC_075,"(몬스터) 드래곤스파인의 와이번이 가진 맹독 주머니. 용의 독은 금속조차 부식시킨다.","(Monster) The potent venom pouch of a Wyvern from Dragonspine. A dragon's venom can corrode even metal."
MATERIAL_DESC_076,"(몬스터) 여러 동물이 뒤섞인 끔찍한 괴물 키메라의 갈기. 여러 마법 속성이 불안정하게 얽혀있다.","(Monster) The mane of a chimera a horrific monster mixed from various animals. Multiple magical properties are unstably intertwined within it."
MATERIAL_DESC_077,"성스러운 기운을 머금고 자라는 풀. 아침 이슬이 맺혔을 때 채집하면 치유력이 극대화된다.","A grass that grows by absorbing sacred energy. Its healing power is maximized when harvested with the morning dew."
MATERIAL_DESC_078,"포르투나의 어부들이 비상식량으로 사용하는 해초. 짭짤하지만 생명력을 회복시켜 준다.","Seaweed used as emergency food by the fishermen of Fortuna. It is salty but restores vitality."
MATERIAL_DESC_079,"드래곤스파인 산맥의 험준한 절벽에서만 자라는 희귀한 약초. 호흡을 안정시키는 효과가 있다.","A rare herb that grows only on the rugged cliffs of the Dragonspine Mountains. It has the effect of stabilizing one's breathing."
MATERIAL_DESC_080,"정화단 신입 단원들이 암송해야 하는 교리가 적힌 작은 책자. 이단자를 식별하는 방법이 포함되어 있다.","A small booklet containing the doctrines that new Purifier members must memorize. It includes methods for identifying heretics."
MATERIAL_DESC_081,"솔라리움 제국의 법률이 기록된 법전의 찢어진 일부. 지금은 거의 지켜지지 않는 법 조항이 적혀있다.","A torn page from the law codex where the laws of the Solarium Empire are recorded. It contains legal articles that are now rarely observed."
WEAPON_NAME_01,"낡은 단검","Old Dagger"
WEAPON_NAME_02,"노예의 단검","Slave's Dagger"
WEAPON_NAME_03,"정보상의 호신용 나이프","Information Broker's Self-Defense Knife"
WEAPON_NAME_04,"그림자 상회의 호신용 단검","Shadow Merchants' Self-Defense Dagger"
WEAPON_NAME_05,"그림자 상회의 거래용 단검","Shadow Merchants' Transaction Dagger"
WEAPON_NAME_06,"독침 거미의 어금니 단검","Venom-Stinger Spider's Fang Dagger"
WEAPON_NAME_07,"'들리지 않는 속삭임'","'The Unheard Whisper'"
WEAPON_NAME_08,"'드래곤 투스'","'Dragon Tooth'"
WEAPON_NAME_09,"'계약자의 비수'","'The Contractor's Shiv'"
WEAPON_NAME_10,"사냥꾼의 손도끼","Hunter's Hatchet"
WEAPON_NAME_11,"북방 부족의 뼈 도끼","Northern Tribe's Bone Axe"
WEAPON_NAME_12,"광부의 곡괭이","Miner's Pickaxe"
WEAPON_NAME_13,"드워프의 강철 도끼","Dwarven Steel Axe"
WEAPON_NAME_14,"해적 처형인의 도끼","Pirate Executioner's Axe"
WEAPON_NAME_15,"북방 광전사의 쌍날도끼","Northern Berserker's Twin-Axe"
WEAPON_NAME_16,"용기사 온두리스의 전투도끼","Onduris Dragon Knight's Battle Axe"
WEAPON_NAME_17,"'거인의 분노'","'Giant's Wrath'"
WEAPON_NAME_18,"순례자의 호신용 망치","Pilgrim's Guard-Hammer"
WEAPON_NAME_19,"수련 성직자의 기도봉","Acolyte's Prayer Rod"
WEAPON_NAME_20,"꿰매어진 피조물의 뼈몽둥이","Stitched Creation's Bone Club"
WEAPON_NAME_21,"알케미아 도시 경비대의 철퇴","Alchemia City Guard's Mace"
WEAPON_NAME_22,"루미나 탑의 은빛 메이스","Silver Mace of Lumina Tower"
WEAPON_NAME_23,"오우거의 뼈 철퇴","Ogre's Bone Mace"
WEAPON_NAME_24,"정화의 성물함","Sacred Reliquary of Purification"
WEAPON_NAME_25,"바위 거인의 파편 둔기","Rock Giant's Fragment Club"
WEAPON_NAME_26,"'고요한 안식'","'The Silent Rest'"
WEAPON_NAME_27,"'성녀의 자비'","'Saint's Mercy'"
WEAPON_NAME_28,"초보 연금술사의 팔찌","Novice Alchemist's Bracelet"
WEAPON_NAME_29,"그라운드 서클의 연성 팔찌","Ground Circle's Transmutation Bracelet"
WEAPON_NAME_30,"볼테르의 잊혀진 손목 보호대","Voltaire's Forgotten Vambrace"
WEAPON_NAME_31,"'현자의 손길'","'Sage's Touch'"
WEAPON_NAME_32,"사냥용 활","Hunting Bow"
WEAPON_NAME_33,"제국 정찰대의 경기궁","Imperial Scout's Light Bow"
WEAPON_NAME_34,"제국군 보급용 장궁","Imperial Army's Supply Longbow"
WEAPON_NAME_35,"잿빛 숲의 가시나무 활","Ashen Forest's Thornwood Bow"
WEAPON_NAME_36,"'용 사냥꾼의 대궁'","'Dragon Hunter's Greatbow'"
WEAPON_NAME_37,"'매의 눈'","'Hawk's Eye'"
WEAPON_NAME_38,"수습기사의 검","Squire's Sword"
WEAPON_NAME_39,"온두리스 가문의 훈련용 검","Onduris Family Training Sword"
WEAPON_NAME_40,"스텔라문드 수비대의 롱소드","Stellamund Garrison's Longsword"
WEAPON_NAME_41,"포르투나 용병의 시미터","Fortuna Mercenary's Scimitar"
WEAPON_NAME_42,"용기사 생도의 서약 검","Dragon Knight Cadet's Oath-Sword"
WEAPON_NAME_43,"해적 선장의 커틀러스","Pirate Captain's Cutlass"
WEAPON_NAME_44,"'정화의 불꽃'","'Flame of Purification'"
WEAPON_NAME_45,"'온두리스의 유산'","'Legacy of Onduris'"
WEAPON_NAME_46,"바벤베르크 가문의 레이피어","Bavenberg Family's Rapier"
WEAPON_NAME_47,"'온두리스의 긍지'","'Pride of Onduris'"
WEAPON_NAME_48,"'솔라리움의 첫 번째 빛'","'Solarium's First Light'"
WEAPON_NAME_49,"민병대의 조잡한 석궁","Militia's Crude Crossbow"
WEAPON_NAME_50,"상인 호위대의 경석궁","Merchant Guard's Light Crossbow"
WEAPON_NAME_51,"드워프제 자동 장전 석궁","Dwarven Auto-loading Crossbow"
WEAPON_NAME_52,"'그림자 추적자'","'The Shadow Stalker'"
WEAPON_NAME_53,"정화단의 중형 석궁","Purifier's Medium Crossbow"
WEAPON_NAME_54,"'태양신의 심판'","'Judgment of the Sun God'"
WEAPON_NAME_55,"수련용 스태프","Training Staff"
WEAPON_NAME_56,"신성한 유적의 수호자 지팡이","Staff of the Sacred Ruins' Guardian"
WEAPON_NAME_57,"타락한 마법사의 지팡이","Corrupted Mage's Staff"
WEAPON_NAME_58,"마력 흡수 지팡이","Mana-Absorbing Staff"
WEAPON_NAME_59,"리치의 해골 지팡이","Lich's Skull Staff"
WEAPON_NAME_60,"'세계수의 가지'","'Branch of the World Tree'"
WEAPON_NAME_61,"민병대의 나무 창","Militia's Wooden Spear"
WEAPON_NAME_62,"제국 보병의 강철 창","Imperial Infantry's Steel Spear"
WEAPON_NAME_63,"와이번 기수의 랜스","Wyvern Rider's Lance"
WEAPON_NAME_64,"'꿰뚫는 별빛'","'The Piercing Starlight'"
MATERIAL_NAME_001,"야생 늑대의 어금니","Wild Wolf's Fang"
MATERIAL_NAME_002,"마족의 뼈 조각","Demon's Bone Shard"
MATERIAL_NAME_003,"솔라리움 제국 동화","Solarium Imperial Copper Coin"
MATERIAL_NAME_004,"빛바랜 군용 천","Faded Military Cloth"
MATERIAL_NAME_005,"혹한초","Frostbloom Herb"
MATERIAL_NAME_006,"신성한 유골 가루","Sacred Bone Dust"
MATERIAL_NAME_007,"마정석 파편","Mana Crystal Fragment"
MATERIAL_NAME_008,"오래된 양피지","Old Parchment"
MATERIAL_NAME_009,"순례자의 증표","Pilgrim's Token"
MATERIAL_NAME_010,"정화된 소금","Purified Salt"
MATERIAL_NAME_011,"자동인형의 태엽","Automaton's Spring"
MATERIAL_NAME_012,"잘 세공된 대리석 조각","Well-Crafted Marble Piece"
MATERIAL_NAME_013,"가문의 문장이 새겨진 밀랍","Wax with a Family Crest"
MATERIAL_NAME_014,"상급 약초","Superior Herb"
MATERIAL_NAME_015,"귀족 가문의 손수건","Noble's Handkerchief"
MATERIAL_NAME_016,"바다게의 집게발","Sea Crab's Pincer"
MATERIAL_NAME_017,"젖은 로프 조각","Wet Rope Fragment"
MATERIAL_NAME_018,"이국적인 향신료","Exotic Spice"
MATERIAL_NAME_019,"낡은 항해 지도","Worn Navigation Chart"
MATERIAL_NAME_020,"희귀한 물고기 뼈","Rare Fish Bone"
MATERIAL_NAME_021,"와이번의 발톱","Wyvern's Claw"
MATERIAL_NAME_022,"산양의 뿔","Mountain Goat's Horn"
MATERIAL_NAME_023,"얼음 심장 파편","Ice Heart Fragment"
MATERIAL_NAME_024,"희귀 광맥","Rare Mineral Vein"
MATERIAL_NAME_025,"드워프식 맥주잔","Dwarven-style Beer Mug"
MATERIAL_NAME_026,"타락한 망령의 정수","Corrupted Wraith's Essence"
MATERIAL_NAME_027,"북벽의 석재 파편","North Wall Stone Fragment"
MATERIAL_NAME_028,"혹한의 이끼","Frigid Moss"
MATERIAL_NAME_029,"정체불명의 뼛가루","Unidentified Bone Powder"
MATERIAL_NAME_030,"얼어붙은 피","Frozen Blood"
MATERIAL_NAME_031,"타락한 까마귀 깃털","Corrupted Crow's Feather"
MATERIAL_NAME_032,"폐허의 벽돌 조각","Ruin's Brick Fragment"
MATERIAL_NAME_033,"얼어붙은 병사의 인식표","Frozen Soldier's Dog Tag"
MATERIAL_NAME_034,"그림자 표범의 가죽","Shadow Leopard's Hide"
MATERIAL_NAME_035,"타락의 흔적","Trace of Corruption"
MATERIAL_NAME_036,"광신도의 기도서","Fanatic's Prayer Book"
MATERIAL_NAME_037,"타락한 순례자의 재","Corrupted Pilgrim's Ashes"
MATERIAL_NAME_038,"빛바랜 성화 조각","Faded Fresco Fragment"
MATERIAL_NAME_039,"종교 재판관의 인장","Inquisitor's Seal"
MATERIAL_NAME_040,"변이 쥐의 꼬리","Mutant Rat's Tail"
MATERIAL_NAME_041,"응고된 슬라임 핵","Coagulated Slime Core"
MATERIAL_NAME_042,"실패한 실험의 부산물","Failed Experiment's Byproduct"
MATERIAL_NAME_043,"그라운드 서클의 휘장","Ground Circle's Insignia"
MATERIAL_NAME_044,"해적의 낡은 안대","Pirate's Worn Eyepatch"
MATERIAL_NAME_045,"밀수꾼의 암호 쪽지","Smuggler's Coded Message"
MATERIAL_NAME_046,"바다 거미의 독샘","Sea Spider's Venom Sac"
MATERIAL_NAME_047,"용의 비늘 파편","Dragon Scale Fragment"
MATERIAL_NAME_048,"고대 골렘의 동력석","Ancient Golem's Power Stone"
MATERIAL_NAME_049,"온두리스 가문의 와인","Wine of the Onduris Family"
MATERIAL_NAME_050,"바벤베르크 가문의 비단","Silk of the Bavenberg Family"
MATERIAL_NAME_051,"리치의 영혼 조각","Lich's Soul Fragment"
MATERIAL_NAME_052,"데스 나이트의 갑옷 파편","Death Knight's Armor Fragment"
MATERIAL_NAME_053,"저주받은 땅의 흙","Soil of the Cursed Land"
MATERIAL_NAME_054,"죽음신의 성물 파편","Death God's Relic Fragment"
MATERIAL_NAME_055,"꿰매어진 피조물의 실","Stitched Creation's Thread"
MATERIAL_NAME_056,"슬픔의 기사 동력원","Knight of Sorrow's Power Source"
MATERIAL_NAME_057,"수석 연금술사의 연구 일지 조각","Chief Alchemist's Research Journal Page"
MATERIAL_NAME_058,"정화단의 인장","Purifier's Sigil"
MATERIAL_NAME_059,"그림자 등불단의 휘장","Shadow Lantern's Crest"
MATERIAL_NAME_060,"엑토플라즘","Ectoplasm"
MATERIAL_NAME_061,"가고일 석상 조각","Gargoyle Statue Fragment"
MATERIAL_NAME_062,"마나 중독 버섯","Mana-addled Mushroom"
MATERIAL_NAME_063,"크라켄의 먹물 주머니","Kraken's Ink Sac"
MATERIAL_NAME_064,"사이렌의 비늘","Siren's Scale"
MATERIAL_NAME_065,"죽음꽃잎","Deathpetal"
MATERIAL_NAME_066,"용혈석","Dragon's Bloodstone"
MATERIAL_NAME_067,"그림자 수정","Shadow Crystal"
MATERIAL_NAME_068,"불에 탄 이단 서적","Burnt Heretical Tome"
MATERIAL_NAME_069,"보이지 않는 잉크","Invisible Ink"
MATERIAL_NAME_070,"피난민의 낡은 인형","Refugee's Worn Doll"
MATERIAL_NAME_071,"뱀파이어의 먼지","Vampire Dust"
MATERIAL_NAME_072,"리치의 성물함 조각","Lich's Phylactery Fragment"
MATERIAL_NAME_073,"스켈레톤 군단장의 투구","Skeleton Captain's Helm"
MATERIAL_NAME_074,"바위 거인의 심장 핵","Rock Giant's Heart Core"
MATERIAL_NAME_075,"와이번의 독주머니","Wyvern's Venom Pouch"
MATERIAL_NAME_076,"키메라의 갈기","Chimera's Mane"
MATERIAL_NAME_077,"빛나는 이슬풀","Gleaming Dew-grass"
MATERIAL_NAME_078,"소금에 절인 해초","Salt-cured Seaweed"
MATERIAL_NAME_079,"고산지 약초","High-mountain Herb"
MATERIAL_NAME_080,"정화단의 교리문답","Purifier's Catechism"
MATERIAL_NAME_081,"제국 법전 조각","Imperial Law Codex Fragment"
MATERIAL_NAME_082,"낡은 사랑 고백 편지","Worn Love Confession Letter"
COMPANION_NAME_SERAPHIN,"세라핀","Seraphin"
COMPANION_NAME_ELARA,"엘라라","Elara"
COMPANION_NAME_GARETT,"가렛","Garett"
COMPANION_SPEC_DESC_LION,"리온에 대한 특별 설명...","Special description for Lion..."
COMPANION_SPEC_DESC_SERAPHIN,"세라핀에 대한 특별 설명...","Special description for Seraphin..."
COMPANION_SPEC_DESC_ELARA,"엘라라에 대한 특별 설명...","Special description for Elara..."
COMPANION_SPEC_DESC_GARETT,"가렛에 대한 특별 설명...","Special description for Garett..."
COMPANION_SKILL_NAME_LION,"용의 포효","Dragon's Roar"
COMPANION_SKILL_DESC_LION,"전방의 적들에게 강력한 피해를 입히고 공포에 빠뜨립니다.","Deals heavy damage to enemies in front and makes them terrified."
COMPANION_SKILL_NAME_SERAPHIN,"신성의 기도","Divine Prayer"
COMPANION_SKILL_DESC_SERAPHIN,"모든 아군의 체력을 회복시키고, 짧은 시간 동안 방어력을 증가시킵니다.","Restores the health of all allies and increases their defense for a short time."
COMPANION_SKILL_NAME_ELARA,"특제 폭탄 투척","Special Bomb Toss"
COMPANION_DESC_ELARA,"지정한 위치에 강력한 폭발을 일으키는 특제 폭탄을 던집니다.","Throws a special bomb that causes a powerful explosion at the designated location."
COMPANION_SKILL_NAME_GARETT,"그림자 기습","Shadow Ambush"
COMPANION_SKILL_DESC_GARETT,"적의 배후로 순간이동하여 치명적인 일격을 가합니다.","Teleports behind an enemy to deliver a critical strike."
